Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuitDemo2,Chrome 110.0.0.0,,,2023-03-03 12:34:24,2023-03-03 12:34:45,20.493s,PASSED
,,,,,,,
Test Cases/Demo/Record Mode,Chrome 110.0.0.0,,,2023-03-03 12:34:25,2023-03-03 12:34:45,20.205s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-03-03 12:34:25,2023-03-03 12:34:28,3.099s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 110.0.0.0,,,2023-03-03 12:34:28,2023-03-03 12:34:33,4.852s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 110.0.0.0,,,2023-03-03 12:34:33,2023-03-03 12:34:34,1.218s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 110.0.0.0,,,2023-03-03 12:34:34,2023-03-03 12:34:35,0.846s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 110.0.0.0,,,2023-03-03 12:34:35,2023-03-03 12:34:36,0.622s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 110.0.0.0,,,2023-03-03 12:34:36,2023-03-03 12:34:37,1.241s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 110.0.0.0,,,2023-03-03 12:34:37,2023-03-03 12:34:38,1.227s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 110.0.0.0,,,2023-03-03 12:34:38,2023-03-03 12:34:38,0.446s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Medicaid_programs""))",Chrome 110.0.0.0,,,2023-03-03 12:34:38,2023-03-03 12:34:39,0.416s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/span_Visit Date (Required)_glyphicon glyphi_cada34""))",Chrome 110.0.0.0,,,2023-03-03 12:34:39,2023-03-03 12:34:39,0.414s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_16""))",Chrome 110.0.0.0,,,2023-03-03 12:34:39,2023-03-03 12:34:40,0.561s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""sample comment"")",Chrome 110.0.0.0,,,2023-03-03 12:34:40,2023-03-03 12:34:41,0.883s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 110.0.0.0,,,2023-03-03 12:34:41,2023-03-03 12:34:43,2.084s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 110.0.0.0,,,2023-03-03 12:34:43,2023-03-03 12:34:44,1.208s,PASSED
closeBrowser(),Chrome 110.0.0.0,,,2023-03-03 12:34:44,2023-03-03 12:34:45,0.778s,PASSED
