Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuitDemo2,Firefox 110.0,,,2023-03-03 13:57:17,2023-03-03 13:57:37,19.731s,PASSED
,,,,,,,
Test Cases/Demo/Record Mode,Firefox 110.0,,,2023-03-03 13:57:17,2023-03-03 13:57:37,19.411s,PASSED
"openBrowser("""")",Firefox 110.0,,,2023-03-03 13:57:18,2023-03-03 13:57:23,5.081s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 110.0,,,2023-03-03 13:57:23,2023-03-03 13:57:27,3.969s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Firefox 110.0,,,2023-03-03 13:57:27,2023-03-03 13:57:28,0.950s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Firefox 110.0,,,2023-03-03 13:57:28,2023-03-03 13:57:29,0.722s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Firefox 110.0,,,2023-03-03 13:57:29,2023-03-03 13:57:29,0.422s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Firefox 110.0,,,2023-03-03 13:57:29,2023-03-03 13:57:30,1.200s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Firefox 110.0,,,2023-03-03 13:57:30,2023-03-03 13:57:32,1.357s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Firefox 110.0,,,2023-03-03 13:57:32,2023-03-03 13:57:32,0.555s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Medicaid_programs""))",Firefox 110.0,,,2023-03-03 13:57:32,2023-03-03 13:57:33,0.544s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/span_Visit Date (Required)_glyphicon glyphi_cada34""))",Firefox 110.0,,,2023-03-03 13:57:33,2023-03-03 13:57:33,0.639s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_16""))",Firefox 110.0,,,2023-03-03 13:57:33,2023-03-03 13:57:34,0.571s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""sample comment"")",Firefox 110.0,,,2023-03-03 13:57:34,2023-03-03 13:57:35,0.663s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Firefox 110.0,,,2023-03-03 13:57:35,2023-03-03 13:57:35,0.853s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Firefox 110.0,,,2023-03-03 13:57:35,2023-03-03 13:57:36,0.865s,PASSED
closeBrowser(),Firefox 110.0,,,2023-03-03 13:57:36,2023-03-03 13:57:37,0.668s,PASSED
