Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuitDemo2,Chrome 110.0.0.0,,,2023-03-03 12:14:19,2023-03-03 12:14:38,18.492s,PASSED
,,,,,,,
Test Cases/Demo/Record Mode,Chrome 110.0.0.0,,,2023-03-03 12:14:20,2023-03-03 12:14:38,18.196s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-03-03 12:14:20,2023-03-03 12:14:23,2.894s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 110.0.0.0,,,2023-03-03 12:14:23,2023-03-03 12:14:27,3.777s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 110.0.0.0,,,2023-03-03 12:14:27,2023-03-03 12:14:28,1.731s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 110.0.0.0,,,2023-03-03 12:14:28,2023-03-03 12:14:29,0.823s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 110.0.0.0,,,2023-03-03 12:14:29,2023-03-03 12:14:30,0.585s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 110.0.0.0,,,2023-03-03 12:14:30,2023-03-03 12:14:31,1.258s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 110.0.0.0,,,2023-03-03 12:14:31,2023-03-03 12:14:32,1.142s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 110.0.0.0,,,2023-03-03 12:14:32,2023-03-03 12:14:32,0.405s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Medicaid_programs""))",Chrome 110.0.0.0,,,2023-03-03 12:14:32,2023-03-03 12:14:33,0.418s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/span_Visit Date (Required)_glyphicon glyphi_cada34""))",Chrome 110.0.0.0,,,2023-03-03 12:14:33,2023-03-03 12:14:33,0.436s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_16""))",Chrome 110.0.0.0,,,2023-03-03 12:14:33,2023-03-03 12:14:34,0.533s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""sample comment"")",Chrome 110.0.0.0,,,2023-03-03 12:14:34,2023-03-03 12:14:35,0.820s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 110.0.0.0,,,2023-03-03 12:14:35,2023-03-03 12:14:36,1.087s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 110.0.0.0,,,2023-03-03 12:14:36,2023-03-03 12:14:37,1.223s,PASSED
closeBrowser(),Chrome 110.0.0.0,,,2023-03-03 12:14:37,2023-03-03 12:14:38,0.765s,PASSED
