Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuit 1,Chrome 110.0.0.0,,,2023-03-01 18:51:47,2023-03-01 18:52:32,45.017s,FAILED
,,,,,,,
Test Cases/Demo/Manual Mode,Chrome 110.0.0.0,,,2023-03-01 18:51:47,2023-03-01 18:52:12,24.383s,FAILED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-03-01 18:51:48,2023-03-01 18:51:50,2.411s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/"")",Chrome 110.0.0.0,,,2023-03-01 18:51:50,2023-03-01 18:52:04,14.273s,PASSED
"setText(findTestObject(""Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 110.0.0.0,,,2023-03-01 18:52:04,2023-03-01 18:52:06,1.776s,PASSED
"setEncryptedText(findTestObject(""Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 110.0.0.0,,,2023-03-01 18:52:06,2023-03-01 18:52:07,0.563s,PASSED
"click(findTestObject(""Page_OrangeHRM/button_Login""))",Chrome 110.0.0.0,,,2023-03-01 18:52:07,2023-03-01 18:52:09,2.046s,PASSED
"verifyTextPresent(""welcome"", false)",Chrome 110.0.0.0,,,2023-03-01 18:52:09,2023-03-01 18:52:12,2.938s,FAILED
,,,,,,,
Test Cases/Demo/Script Mode,Chrome 110.0.0.0,,,2023-03-01 18:52:12,2023-03-01 18:52:32,20.263s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-03-01 18:52:12,2023-03-01 18:52:15,2.251s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/"")",Chrome 110.0.0.0,,,2023-03-01 18:52:15,2023-03-01 18:52:28,13.711s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), Username)",Chrome 110.0.0.0,,,2023-03-01 18:52:28,2023-03-01 18:52:30,1.618s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 110.0.0.0,,,2023-03-01 18:52:30,2023-03-01 18:52:31,0.685s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Login""))",Chrome 110.0.0.0,,,2023-03-01 18:52:31,2023-03-01 18:52:31,0.501s,PASSED
closeBrowser(),Chrome 110.0.0.0,,,2023-03-01 18:52:31,2023-03-01 18:52:32,0.658s,PASSED
